Date,Tileflowmm,VWC_10cm,VWC_20cm,VWC_50cm,TMP_10cm,TMP_20cm,TMP_50cm,wattbl distance from soil surface (mm),TilePg/ha,SurPg/ha,TileNo3kg/ha,SurNo3kg/ha
1/1/2020,0.1203,,,,,,,,0.4094,0,0.0026,0
1/2/2020,0.1085,,,,,,,,0.6625,0,0.0029,0
1/3/2020,0.4503,,,,,,,,1.0724,0,0.0127,0
1/4/2020,0.6884,,,,,,,,0.4788,0,0.0415,0
1/5/2020,0.3688,,,,,,,,0.2545,0,0.0273,0
1/6/2020,0.208,,,,,,,,0.3024,0,0.0142,0
1/7/2020,0.1534,,,,,,,,0.152,0,0.0046,0
1/8/2020,0.0646,,,,,,,,0.151,0,0.0012,0
1/9/2020,0.0592,,,,,,,,0.2417,0,0.0016,0
1/10/2020,6.7784,,,,,,,,5.1822,0,0.3392,0
1/11/2020,8.0825,,,,,,,,1.1234,0.0131,0.4184,0
1/12/2020,7.5283,,,,,,,,1.0796,0.0031,0.4239,0
1/13/2020,2.3049,,,,,,,,0.3292,0,0.1573,0
1/14/2020,1.1337,,,,,,,,0.1358,0,0.0903,0
1/15/2020,0.7081,,,,,,,,0.0708,0,0.0596,0
1/16/2020,0.4631,,,,,,,,0.0462,0,0.0385,0
1/17/2020,0.3959,,,,,,,,0.0371,0,0.032,0
1/18/2020,5.3044,,,,,,,,0.612,0,0.3372,0
1/19/2020,2.687,,,,,,,,0.2751,0,0.201,0
1/20/2020,0.7089,,,,,,,,0.0685,0,0.0577,0
1/21/2020,0.481,,,,,,,,0.0446,0,0.0388,0
1/22/2020,0.4105,,,,,,,,0.0374,0,0.0336,0
1/23/2020,0.3265,,,,,,,,0.0369,0,0.0263,0
1/24/2020,0.4128,,,,,,,,0.0621,0,0.0322,0
1/25/2020,0.7068,,,,,,,,0.1012,0,0.0551,0
1/26/2020,0.9316,,,,,,,,0.1234,0,0.0744,0
1/27/2020,0.9493,,,,,,,,0.1238,0,0.078,0
1/28/2020,1.0249,,,,,,,,0.14,0,0.0867,0
1/29/2020,0.8134,,,,,,,,0.1027,0,0.07,0
1/30/2020,0.5584,,,,,,,,0.071,0,0.0478,0
1/31/2020,0.4892,,,,,,,,0.0634,0,0.0415,0
2/1/2020,0.8733,,,,,,,,0.1063,0,0.0752,0
2/2/2020,1.5467,,,,,,,,0.1856,0,0.1419,0
2/3/2020,0.7913,,,,,,,,0.095,0,0.073,0
2/4/2020,0.9956,,,,,,,,0.1233,0,0.0913,0
2/5/2020,1.5106,,,,,,,,0.191,0,0.14,0
2/6/2020,0.925,,,,,,,,0.1079,0,0.0843,0
2/7/2020,0.523,,,,,,,,0.0593,0,0.0462,0
2/8/2020,0.369,,,,,,,,0.045,0,0.0311,0
2/9/2020,0.5782,,,,,,,,0.0739,0.8958,0.0431,0.0186
2/10/2020,9.3625,,,,,,,,1.2537,8.3737,0.6767,0.1427
2/11/2020,6.2699,,,,,,,,0.8559,0,0.4898,0
2/12/2020,2.2403,,,,,,,,0.2686,0,0.1948,0
2/13/2020,1.502,,,,,,,,0.1667,0,0.1326,0
2/14/2020,1.0456,,,,,,,,0.1317,0,0.093,0
2/15/2020,0.9053,,,,,,,,0.1087,0,0.0804,0
2/16/2020,0.8314,,,,,,,,0.0959,0,0.0724,0
2/17/2020,2.7725,,,,,,,,0.3051,0,0.2068,0
2/18/2020,6.7037,,,,,,,,0.7959,0,0.4808,0
2/19/2020,1.7521,,,,,,,,0.2244,0,0.1517,0
2/20/2020,0.8965,,,,,,,,0.0511,0,0.0797,0
2/21/2020,0.6348,,,,,,,,0.0171,0,0.0557,0
2/22/2020,0.5395,,,,,,,,0.0121,0,0.0465,0
2/23/2020,0.4692,,,,,,,,0.0061,0,0.0402,0
2/24/2020,0.4299,,,,,,,,0.0073,0,0.0364,0
2/25/2020,0.9402,,,,,,,,0.0111,0,0.0791,0
2/26/2020,2.7874,,,,,,,,0.0292,0,0.2522,0
2/27/2020,1.9644,,,,,,,,0.032,0,0.1854,0
2/28/2020,1.0272,,,,,,,,0.0068,0,0.0953,0
2/29/2020,0.62,,,,,,,,0.0089,0,0.0555,0
3/1/2020,0.8417,,,,,,,,0.0227,0,0.0722,0
3/2/2020,1.9939,,,,,,,,0.2268,0,0.1663,0
3/3/2020,5.7926,,,,,,,,0.5872,0,0.4737,0
3/4/2020,2.1662,,,,,,,,0.195,0,0.1877,0
3/5/2020,1.1802,,,,,,,,0.1054,0,0.1034,0
3/6/2020,0.7729,,,,,,,,0.0593,0,0.0664,0
3/7/2020,0.6227,,,,,,,,0.0528,0,0.0516,0
3/8/2020,0.6243,,,,,,,,0.0562,0,0.0508,0
3/9/2020,0.5909,,,,,,,,0.0532,0,0.0481,0
3/10/2020,1.4706,,,,,,,,0.1315,0,0.1212,0
3/11/2020,1.2868,,,,,,,,0.1068,0,0.1072,0
3/12/2020,1.3507,,,,,,,,0.1193,0.1977,0.1033,0.0026
3/13/2020,6.5051,,,,,,,,0.594,0.3199,0.5048,0.0042
3/14/2020,1.9285,,,,,,,,0.2399,0,0.1638,0
3/15/2020,1.212,,,,,,,,0.1235,0,0.1041,0
3/16/2020,1.0036,,,,,,,,0.0827,0,0.0844,0
3/17/2020,0.6961,,,,,,,,0.0631,0,0.0581,0
3/18/2020,3.3592,,,,,,,,0.3983,0.1839,0.2375,0.0038
3/19/2020,7.5913,,,,,,,,0.8659,0.0031,0.5293,0.0001
3/20/2020,6.2003,,,,,,,,0.682,0,0.4689,0
3/21/2020,2.1393,,,,,,,,0.2353,0,0.1795,0
3/22/2020,1.3239,,,,,,,,0.1456,0,0.114,0
3/23/2020,1.5159,,,,,,,,0.1574,0,0.1321,0
3/24/2020,1.3827,,,,,,,,0.1385,0,0.123,0
3/25/2020,1.0019,,,,,,,,0.1198,0,0.0877,0
3/26/2020,0.7494,,,,,,,,0.1099,0,0.0628,0
3/27/2020,0.6331,,,,,,,,0.0914,0,0.0503,0
3/28/2020,2.7084,,,,,,,,0.3911,0.0196,0.2082,0.0004
3/29/2020,6.7153,,,,,,,,1.0099,0.1161,0.5267,0.0026
3/30/2020,1.9686,,,,,,,,0.3148,0,0.1594,0
3/31/2020,1.1105,,,,,,,,0.1839,0,0.0913,0
4/1/2020,0.6719,,,,,,,,0.1133,0,0.0557,0
4/2/2020,0.5328,,,,,,,,0.0875,0,0.0436,0
4/3/2020,0.4667,,,,,,,,0.0748,0,0.0378,0
4/4/2020,0.4214,,,,,,,,0.0674,0,0.0341,0
4/5/2020,0.3417,,,,,,,,0.0547,0,0.0276,0
4/6/2020,0.3501,,,,,,,,0.056,0,0.0281,0
4/7/2020,2.7166,,,,,,,,0.4347,0,0.2187,0
4/8/2020,4.1186,,,,,,,,0.659,0,0.3381,0
4/9/2020,1.5528,,,,,,,,0.2485,0,0.1304,0
4/10/2020,0.7302,,,,,,,,0.1168,0,0.0618,0
4/11/2020,0.535,,,,,,,,0.0861,0,0.0453,0
4/12/2020,0.5066,,,,,,,,0.084,0,0.0421,0
4/13/2020,0.3833,,,,,,,,0.0644,0,0.0313,0
4/14/2020,0.3745,,,,,,,,0.0592,0,0.0305,0
4/15/2020,0.4295,,,,,,,,0.0651,0,0.0349,0
4/16/2020,0.246,,,,,,,,0.0383,0,0.0201,0
4/17/2020,0.4358,,,,,,,,0.0701,0,0.0354,0
4/18/2020,0.4144,,,,,,,,0.0687,0,0.0331,0
4/19/2020,0.4668,,,,,,,,0.0792,0,0.0366,0
4/20/2020,0.4342,,,,,,,,0.0738,0,0.0336,0
4/21/2020,0.28,,,,,,,,0.0471,0,0.0215,0
4/22/2020,0.1176,,,,,,,,0.0178,0,0.0089,0
4/23/2020,0.1687,,,,,,,,0.0259,0,0.0126,0
4/24/2020,0.0917,,,,,,,,0.0174,0,0.0068,0
4/25/2020,0.0869,,,,,,,,0.0177,0,0.0065,0
4/26/2020,0.7075,,,,,,,,0.1138,0,0.0569,0
4/27/2020,0.6127,,,,,,,,0.0853,0,0.0502,0
4/28/2020,0.5288,,,,,,,,0.0705,0,0.0417,0
4/29/2020,0.5493,,,,,,,,0.0714,0,0.0422,0
4/30/2020,0.4425,,,,,,,,0.0575,0,0.0339,0
5/1/2020,0.2663,,,,,,,,0.0346,0,0.0202,0
5/2/2020,0.3436,,,,,,,,0.0447,0,0.0257,0
5/3/2020,0.3459,,,,,,,,0.045,0,0.0256,0
5/4/2020,0.2309,,,,,,,,0.0302,0,0.0172,0
5/5/2020,0.2958,,,,,,,,0.0461,0,0.0224,0
5/6/2020,0.1768,,,,,,,,0.0263,0,0.0133,0
5/7/2020,0.1888,,,,,,,,0.0236,0,0.0141,0
5/8/2020,0.1442,,,,,,,,0.0183,0,0.0108,0
5/9/2020,0.0563,,,,,,,,0.0077,0,0.0041,0
5/10/2020,0.1087,,,,,,,,0.0145,0,0.008,0
5/11/2020,0.0529,,,,,,,,0.0083,0,0.0038,0
5/12/2020,0.0468,,,,,,,,0.0068,0,0.0034,0
5/13/2020,0.0416,,,,,,,,0.0055,0,0.003,0
5/14/2020,0.0961,,,,,,,,0.0133,0,0.0071,0
5/15/2020,0.7432,,,,,,,,0.104,0,0.0617,0
5/16/2020,0.8341,,,,,,,,0.1168,0,0.0694,0
5/17/2020,0.6229,,,,,,,,0.0872,0,0.0503,0
5/18/2020,2.7195,,,,,,,,0.4024,0,0.2483,0
5/19/2020,7.8556,,,,,,,,1.3491,0.0022,0.735,0.0001
5/20/2020,3.4395,,,,,,,,0.3918,0,0.3261,0
5/21/2020,1.549,,,,,,,,0.1239,0,0.1408,0
5/22/2020,1.0641,,,,,,,,0.0846,0,0.0931,0
5/23/2020,0.8233,,,,,,,,0.06,0,0.0705,0
5/24/2020,0.6481,,,,,,,,0.0508,0,0.055,0
5/25/2020,1.112,,,,,,,,0.1063,0,0.092,0
5/26/2020,1.3855,,,,,,,,0.1179,0,0.1173,0
5/27/2020,0.8446,,,,,,,,0.0617,0,0.0714,0
5/28/2020,0.684,,,,,,,,0.0532,0,0.0571,0
5/29/2020,0.6175,,,,,,,,0.0494,0,0.0508,0
5/30/2020,0.5411,,,,,,,,0.0433,0,0.0436,0
